Archivo,Coeficiente_de_Dice,Iteracion
sub-0109_postop-t1mri-1.nii.gz,0.4624428451061249,5
sub-0203_postop-t1mri-1.nii.gz,0.9278707504272461,5
sub-0307_postop-t1mri-1.nii.gz,0.9371761679649353,5
sub-0188_postop-t1mri-1.nii.gz,0.6938591003417969,5
sub-0418_postop-t1mri-1.nii.gz,0.9436709880828857,5
sub-0424_postop-t1mri-1.nii.gz,0.8433096408843994,5
sub-0089_postop-t1mri-1.nii.gz,0.9333184361457825,5
sub-0100_postop-t1mri-1.nii.gz,0.779924750328064,5
sub-0327_postop-t1mri-1.nii.gz,0.7977527976036072,5
sub-0144_postop-t1mri-1.nii.gz,0.49565574526786804,5
sub-0375_postop-t1mri-1.nii.gz,0.7673438191413879,5
sub-0035_postop-t1mri-1.nii.gz,0.9272680282592773,5
sub-0046_postop-t1mri-1.nii.gz,0.8555301427841187,5
sub-0157_postop-t1mri-1.nii.gz,0.8977391719818115,5
sub-0038_postop-t1mri-1.nii.gz,0.8735747933387756,5
sub-0221_postop-t1mri-1.nii.gz,0.8221678137779236,6
sub-0044_postop-t1mri-1.nii.gz,0.8501636981964111,6
sub-0324_postop-t1mri-1.nii.gz,0.8893939256668091,6
sub-0198_postop-t1mri-1.nii.gz,1.3404825693896782e-08,6
sub-0208_postop-t1mri-1.nii.gz,0.7987719774246216,6
sub-0332_postop-t1mri-1.nii.gz,0.8876330256462097,6
sub-0289_postop-t1mri-1.nii.gz,0.9106027483940125,6
sub-0141_postop-t1mri-1.nii.gz,0.7826752662658691,6
sub-0022_postop-t1mri-1.nii.gz,0.9191849231719971,6
sub-0034_postop-t1mri-1.nii.gz,0.9247115850448608,6
sub-0345_postop-t1mri-1.nii.gz,0.9129810333251953,6
sub-0385_postop-t1mri-1.nii.gz,0.8636664152145386,6
sub-0138_postop-t1mri-1.nii.gz,0.9025326371192932,6
sub-0129_postop-t1mri-1.nii.gz,0.9315496683120728,6
sub-0135_postop-t1mri-1.nii.gz,0.9074741005897522,6
sub-0241_postop-t1mri-1.nii.gz,0.9316272139549255,6
sub-0148_postop-t1mri-1.nii.gz,0.8417001962661743,6
sub-0139_postop-t1mri-1.nii.gz,0.6849942803382874,6
sub-0287_postop-t1mri-1.nii.gz,0.9144628047943115,6
sub-0111_postop-t1mri-1.nii.gz,0.8489781022071838,6
sub-0318_postop-t1mri-1.nii.gz,0.8966354727745056,6
sub-0194_postop-t1mri-1.nii.gz,0.7568501234054565,6
